name,nachname,email,alter,contract_type,abschlag,durchschnittVerbrauch,basisBetrag,,kWhPreis
Katharina,Zimmermann,sarah.mia@test.com,65,GAS,51.38,3456.72,25.85,0.23
Katharina,Zimmermann,sarah.mia@test.com,65,GAS,61.48,4840.57,49.74,0.23
Weber,Lisa,fischer.sophie@example.com,74,GAS,67.28,3021.74,5.11,0.36
Müller,Lenz,schulz.julia@domain.com,90,STROM,76.03,2029.93,20.09,0.44
Thomas,Lea,schulz.lenz@example.com,67,GAS,167.1,2571.34,38.58,0.22
Katharina,Zimmermann,hoffmann.mia@example.com,39,STROM,66.76,3915.5,49.14,0.23
Michael,Böhm,becker.schröder@test.com,76,STROM,159.27,4151.46,17.45,0.48
Michael,Böhm,becker.schröder@test.com,76,STROM,191.65,1668.45,32.96,0.43
Thomas,Lena,wolfgang.böhm@example.com,86,STROM,71.45,4137.79,48.63,0.49
Thomas,Lena,wolfgang.böhm@example.com,86,GAS,63.49,4554.3,8.5,0.48
Weber,Lena,daniel.zimmermann@domain.com,83,STROM,89.37,3262.95,42.02,0.45
Weber,Lena,daniel.zimmermann@domain.com,83,STROM,76.34,1692.62,14.01,0.3
Daniel,Laura,daniel.lisa@domain.com,77,GAS,103.32,1264.28,19.5,0.36
Daniel,Laura,daniel.lisa@domain.com,77,GAS,146.19,2700.89,42.67,0.45
Hoffmann,Walter,,81,STROM,145.46,1253.27,19.4,0.23
Hoffmann,Walter,,81,STROM,133.01,3834.72,33.75,0.36
Hoffmann,Walter,,81,GAS,80.6,1838.8,43.48,0.41
Schneider,Lea,,54,STROM,106.93,2272.99,31.2,0.48
Schulz,Julia,schneider.maier@test.com,82,STROM,187.9,4010.21,33.71,0.48
Schulz,Julia,schneider.maier@test.com,82,STROM,177.85,2390.04,11.99,0.42
Weber,Maier,fischer.lea@test.com,47,STROM,113.95,4039.29,14.22,0.36
Weber,Maier,fischer.lea@test.com,47,GAS,101.22,3535.64,46.43,0.24
Weber,Maier,fischer.lea@test.com,47,STROM,68.56,2470.91,17.52,0.4
Katharina,Lisa,christine.lisa@domain.com,59,STROM,80.8,4251.34,27.99,0.29
Katharina,Lisa,christine.lisa@domain.com,59,STROM,60.3,1790.33,18.43,0.39
Katharina,Lisa,christine.lisa@domain.com,59,GAS,136.9,3524.8,22.89,0.47
Wagner,Lea,weber.schröder@test.com,24,STROM,112.17,2749.6,10.67,0.38
Wagner,Lea,weber.schröder@test.com,24,GAS,56.3,1048.52,17.86,0.25
Peter,Schröder,müller.neumann@example.com,26,GAS,125.32,1448.61,6.44,0.37
Peter,Schröder,müller.neumann@example.com,26,STROM,192.37,3608.96,32.51,0.24
Becker,Sophie,andreas.krüger@domain.com,74,STROM,116.77,1720.71,35.9,0.43
Becker,Sophie,andreas.krüger@domain.com,74,GAS,146.66,1143.94,15.4,0.25
Sarah,Maier,becker.mia@test.com,83,GAS,55.66,3566.17,15.13,0.4
Sarah,Maier,becker.mia@test.com,83,STROM,85.4,2025.75,20.05,0.41
Becker,Lenz,katharina.sophie@example.com,49,STROM,192.93,1754.18,23.85,0.34
Becker,Lenz,katharina.sophie@example.com,49,STROM,158.61,4974.15,36.76,0.48
Becker,Lenz,katharina.sophie@example.com,49,STROM,122.9,2040.68,27.79,0.49
Daniel,Zimmermann,fischer.lisa@domain.com,70,STROM,145.82,1353.81,17.56,0.21
Thomas,Lenz,wagner.mia@test.com,32,GAS,85.07,4072.99,33.14,0.39
Thomas,Lenz,wagner.mia@test.com,32,GAS,92.38,1996.44,10.11,0.31
